unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,start_time,days
25_4,25,4,11665,648.59,1014.4577777777778,2016-12-09  12:13:12,42.26907407407408
25_5,25,5,11389,680.85,1014.4872222222223,2016-12-09  12:14:58,42.27030092592593
32_4,32,4,4691,930.25,1014.5830555555556,2016-12-09  12:20:43,42.274293981481485
32_5,32,5,3137,1040.11,1014.6102777777778,2016-12-09  12:22:21,42.275428240740744
5_1,5,1,14737,1197.9,829.3736111111111,2016-12-01  19:08:09,34.557233796296295
5_2,5,2,15755,1202.57,829.4788888888888,2016-12-01  19:14:28,34.56162037037037
5_3,5,3,15376,1264.46,829.4275,2016-12-01  19:11:23,34.55947916666667
5_4,5,4,18208,1215.53,829.4516666666667,2016-12-01  19:12:50,34.56048611111111
5_5,5,5,17463,1111.38,829.5161111111111,2016-12-01  19:16:42,34.5631712962963
8_1,8,1,19353,1125.81,829.6891666666667,2016-12-01  19:27:05,34.57038194444444
8_2,8,2,22264,1059.73,829.6469444444444,2016-12-01  19:24:33,34.56862268518518
8_3,8,3,18558,1049.7,829.6155555555556,2016-12-01  19:22:40,34.567314814814814
8_4,8,4,17701,1113.1,829.5747222222222,2016-12-01  19:20:13,34.565613425925925
8_5,8,5,17392,1028.06,829.5502777777778,2016-12-01  19:18:45,34.564594907407404
16_1,16,1,20883,971.05,829.7147222222222,2016-12-01  19:28:37,34.57144675925926
16_2,16,2,16596,1034.98,829.7386111111111,2016-12-01  19:30:03,34.57244212962963
16_3,16,3,18956,1054.16,829.7630555555555,2016-12-01  19:31:31,34.57346064814815
16_4,16,4,20005,1156.72,829.8338888888889,2016-12-01  19:35:46,34.57641203703704
16_5,16,5,18257,1157.49,829.8091666666667,2016-12-01  19:34:17,34.575381944444445
25_1,25,1,12762,914.47,829.2486111111111,2016-12-01  19:00:39,34.552025462962966
25_2,25,2,13896,1222.13,829.2725,2016-12-01  19:02:05,34.553020833333335
25_3,25,3,14076,1004.23,829.2969444444444,2016-12-01  19:03:33,34.55403935185185
25_4,25,4,13719,1184.6,829.3211111111111,2016-12-01  19:05:00,34.5550462962963
25_5,25,5,12874,1078.88,829.3497222222222,2016-12-01  19:06:43,34.556238425925926
32_1,32,1,2430,1979.32,850.1041666666666,2016-12-02  15:51:59,35.42100694444444
32_2,32,2,4949,1308.24,850.1408333333334,2016-12-02  15:54:11,35.422534722222224
32_3,32,3,3587,1650.31,850.1658333333334,2016-12-02  15:55:41,35.42357638888889
32_4,32,4,3932,1590.16,850.1886111111111,2016-12-02  15:57:03,35.42452546296296
32_5,32,5,4909,1227.3,850.2391666666666,2016-12-02  16:00:05,35.426631944444445
5_1,5,1,19474,980.82,949.855,2016-12-06  19:37:02,39.57729166666667
5_2,5,2,18467,1043.45,949.8197222222223,2016-12-06  19:34:55,39.57582175925926
5_3,5,3,20106,951.1,949.88,2016-12-06  19:38:32,39.57833333333333
5_4,5,4,26825,982.56,949.9025,2016-12-06  19:39:53,39.57927083333333
5_5,5,5,16642,927.9,949.9277777777778,2016-12-06  19:41:24,39.58032407407408
8_1,8,1,19068,843.5,949.9541666666667,2016-12-06  19:42:59,39.58142361111111
8_2,8,2,18630,776.54,949.9805555555556,2016-12-06  19:44:34,39.58252314814815
8_3,8,3,20553,861.8,950.0047222222222,2016-12-06  19:46:01,39.58353009259259
